A,steps_A,B,steps_B,max a,max c,A_norm,B_norm
3042.25,28,805.25,33,4366,8189,0.696804856,0.09833313
3671.444444,35.5,838.6666667,38,,,0.840917188,0.102413807
4064.444444,45.5,1259.7,44.5,,,0.930930931,0.153828306
4302.823529,58.5,1821.5,53.5,,,0.985529897,0.222432531
4108,72.5,2736,62.5,,,0.940907009,0.334106729
3797.111111,83.5,3353.875,71.5,,,0.869700209,0.409558554
3390.8,92.5,4059.222222,83,,,0.776637655,0.417836936
2711,102,4774.9,92.5,,,0.620934494,0.495692053
2032.444444,111,5766.111111,102,,,0.465516364,0.583087068
1411.833333,121.5,6641,111,,,0.32336998,0.704128845
880,132.5,7348.636364,122,,,0.20155749,0.81096593
557.8571429,141,7947.333333,133.5,,,0.127773052,0.897378967
281.2,147,8046.428571,142,,,0.06440678,0.970488867
178,151.5,7801,148,,,0.040769583,0.982589885
,,7406,151.5,,,,0.982589885
